max_iter,system,distance,repeat,mode,eval_count,guide_cost,total_cost,energy,exact_total,abs_error_vs_fci,robust_amp,robust_guided_used
100,BeH2,0.6538461538461539,1,guided_fourier_robust,100,9,109.0,-14.056276101901773,-14.66180850553618,0.6055324036344079,0.9012680858404432,True
100,BeH2,0.6538461538461539,2,default,100,0,100.0,-14.59830890724264,-14.66180850553618,0.06349959829354113,0.0,
100,BeH2,0.6538461538461539,2,guided_fourier_robust,100,9,109.0,-14.606093983920172,-14.66180850553618,0.055714521616009094,0.8252360218845106,True
100,BeH2,0.8076923076923077,0,default,100,0,100.0,-15.104023980161564,-15.17342600781595,0.06940202765438563,0.0,
100,BeH2,0.8076923076923077,0,guided_fourier_robust,100,9,109.0,-15.122925654490555,-15.17342600781595,0.05050035332539515,0.6941355137511942,True
100,BeH2,0.8076923076923077,1,default,100,0,100.0,-14.734435496624602,-15.17342600781595,0.43899051119134747,0.0,
100,BeH2,0.8076923076923077,1,guided_fourier_robust,100,9,109.0,-14.525132892671628,-15.17342600781595,0.6482931151443214,0.8555778090092154,True
100,BeH2,0.8076923076923077,2,default,100,0,100.0,-15.115020609663187,-15.17342600781595,0.0584053981527628,0.0,
100,BeH2,0.8076923076923077,2,guided_fourier_robust,100,9,109.0,-15.118202227890396,-15.17342600781595,0.055223779925553274,0.7320910704864599,True
100,BeH2,0.9615384615384616,0,default,100,0,100.0,-15.352209302569825,-15.425201817554719,0.07299251498489312,0.0,
100,BeH2,0.9615384615384616,0,guided_fourier_robust,100,9,109.0,-15.372474224827371,-15.425201817554719,0.05272759272734717,0.6681711545718263,True
100,BeH2,0.9615384615384616,1,default,100,0,100.0,-14.958939712857894,-15.425201817554719,0.46626210469682405,0.0,
100,BeH2,0.9615384615384616,1,guided_fourier_robust,100,9,109.0,-14.819060561842258,-15.425201817554719,0.6061412557124601,0.81634634985897,True
100,BeH2,0.9615384615384616,2,default,100,0,100.0,-15.371701828999917,-15.425201817554719,0.05349998855480109,0.0,
